age,income,ownership,emp,intend,grade,amount,intrest,status,percent,default,history,cust_id,risk
23.0,113000.0,RENT,8.0,DEBTCONSOLIDATION,D,35000.0,18.25,1.0,0.3097345132743362,N,4.0,19,55.0
24.0,10800.0,MORTGAGE,8.0,EDUCATION,B,1750.0,10.99,1.0,0.162037037037037,N,2.0,20,35.0
25.0,162500.0,RENT,2.0,VENTURE,A,35000.0,7.49,0.0,0.2153846153846154,N,4.0,21,37.00000000000001
25.0,137000.0,RENT,9.0,PERSONAL,E,34800.0,16.77,0.0,0.2540145985401459,Y,2.0,22,65.0
22.0,65000.0,RENT,4.0,EDUCATION,D,34000.0,17.58,1.0,0.5230769230769231,N,4.0,23,55.0
24.0,10980.0,OWN,0.0,PERSONAL,A,1500.0,7.29,0.0,0.1366120218579235,N,3.0,24,32.00000000000001
22.0,80000.0,RENT,3.0,PERSONAL,D,33950.0,14.54,1.0,0.424375,Y,4.0,25,75.0
24.0,67746.0,RENT,8.0,HOMEIMPROVEMENT,C,33000.0,12.68,1.0,0.4871136303250376,N,3.0,26,51.99999999999999
21.0,11000.0,MORTGAGE,3.0,VENTURE,E,4575.0,17.74,1.0,0.4159090909090909,Y,3.0,27,74.0
23.0,11000.0,OWN,0.0,PERSONAL,A,1400.0,9.32,0.0,0.1272727272727272,N,3.0,28,32.00000000000001
24.0,65000.0,RENT,6.0,HOMEIMPROVEMENT,B,32500.0,9.99,1.0,0.5,N,3.0,29,49.0
21.0,11389.0,OTHER,5.0,EDUCATION,C,4000.0,12.84,1.0,0.3512160856967249,Y,2.0,30,66.00000000000001
21.0,11520.0,OWN,5.0,MEDICAL,B,2000.0,11.12,1.0,0.1736111111111111,N,3.0,31,33.00000000000001
25.0,120000.0,RENT,2.0,VENTURE,A,32000.0,6.62,0.0,0.2666666666666666,N,2.0,32,37.00000000000001
26.0,95000.0,RENT,7.0,HOMEIMPROVEMENT,C,31050.0,14.17,1.0,0.3268421052631579,Y,3.0,33,71.0
25.0,225200.0,RENT,2.0,DEBTCONSOLIDATION,C,24250.0,13.85,0.0,0.1076820603907637,N,3.0,34,42.999999999999986
26.0,225200.0,MORTGAGE,10.0,MEDICAL,C,7800.0,13.49,0.0,0.0346358792184724,N,4.0,35,33.0
21.0,12000.0,OWN,5.0,EDUCATION,A,2500.0,7.51,1.0,0.2083333333333333,N,4.0,36,30.0
22.0,48000.0,RENT,1.0,EDUCATION,E,30000.0,18.39,1.0,0.625,N,2.0,37,61.99999999999999
24.0,64000.0,RENT,8.0,DEBTCONSOLIDATION,D,30000.0,14.54,1.0,0.46875,Y,3.0,38,75.0
25.0,75000.0,RENT,4.0,HOMEIMPROVEMENT,D,30000.0,16.89,1.0,0.4,Y,4.0,39,74.0
23.0,71500.0,RENT,3.0,DEBTCONSOLIDATION,D,30000.0,10.99,1.0,0.4195804195804196,N,4.0,40,55.0
26.0,62050.0,RENT,6.0,MEDICAL,E,30000.0,17.99,1.0,0.48348106365834,N,2.0,41,57.0
24.0,12000.0,OWN,4.0,VENTURE,B,2500.0,12.69,1.0,0.2083333333333333,N,3.0,42,33.00000000000001
26.0,225200.0,MORTGAGE,10.0,VENTURE,A,20000.0,7.88,0.0,0.0888099467140319,N,4.0,43,27.0
23.0,225200.0,OWN,1.0,EDUCATION,F,24250.0,19.41,0.0,0.1076820603907637,Y,2.0,44,67.0
26.0,225200.0,OWN,9.0,HOMEIMPROVEMENT,B,10000.0,10.38,0.0,0.0444049733570159,N,4.0,45,30.000000000000004
26.0,225200.0,MORTGAGE,0.0,EDUCATION,D,25000.0,15.33,0.0,0.1110124333925399,N,3.0,46,41.99999999999999
25.0,225200.0,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000.0,16.45,0.0,0.0799289520426287,N,3.0,47,41.0
26.0,80690.0,RENT,8.0,PERSONAL,A,30000.0,7.49,1.0,0.3717932829346883,N,3.0,48,44.99999999999999
22.0,66300.0,RENT,4.0,MEDICAL,B,30000.0,12.69,1.0,0.4524886877828054,N,3.0,49,49.0
26.0,89028.0,RENT,0.0,DEBTCONSOLIDATION,A,30000.0,6.62,1.0,0.3369726378218088,N,3.0,50,48.99999999999999
24.0,78000.0,RENT,4.0,DEBTCONSOLIDATION,D,30000.0,10.99,1.0,0.3846153846153846,Y,4.0,51,75.0
23.0,78000.0,RENT,7.0,DEBTCONSOLIDATION,F,30000.0,18.62,1.0,0.3846153846153846,Y,3.0,52,81.0
23.0,92004.0,RENT,6.0,PERSONAL,C,30000.0,15.23,1.0,0.3260727794443719,Y,3.0,53,72.00000000000001
23.0,97000.0,RENT,7.0,VENTURE,B,30000.0,10.65,1.0,0.3092783505154639,N,2.0,54,49.0
25.0,120000.0,RENT,9.0,EDUCATION,A,30000.0,7.9,0.0,0.25,N,4.0,55,33.0
26.0,225200.0,RENT,4.0,PERSONAL,C,10000.0,15.96,0.0,0.0444049733570159,Y,3.0,56,58.999999999999986
26.0,225200.0,RENT,0.0,VENTURE,B,20000.0,11.48,0.0,0.0888099467140319,N,3.0,57,40.0
23.0,225200.0,OWN,3.0,PERSONAL,A,35000.0,10.99,0.0,0.1554174067495559,N,4.0,58,28.000000000000004
25.0,128000.0,RENT,9.0,PERSONAL,A,30000.0,7.29,0.0,0.234375,N,4.0,59,33.0
24.0,12000.0,OWN,2.0,VENTURE,E,1750.0,10.99,0.0,0.1458333333333333,Y,3.0,60,63.99999999999999
21.0,131000.0,RENT,0.0,VENTURE,A,30000.0,5.99,0.0,0.2290076335877862,N,4.0,61,38.00000000000001
22.0,225200.0,OWN,6.0,VENTURE,B,12000.0,11.58,0.0,0.0532859680284191,N,2.0,62,31.000000000000007
26.0,225200.0,MORTGAGE,0.0,EDUCATION,B,10000.0,10.99,1.0,0.0444049733570159,N,4.0,63,38.00000000000001
25.0,221850.0,MORTGAGE,9.0,MEDICAL,D,25000.0,15.7,1.0,0.1126887536623845,N,2.0,64,40.0
22.0,70000.0,RENT,6.0,EDUCATION,D,29100.0,15.99,1.0,0.4157142857142857,N,3.0,65,55.0
22.0,12000.0,MORTGAGE,7.0,EDUCATION,D,1500.0,14.84,0.0,0.125,Y,3.0,66,59.000000000000014
26.0,225200.0,OWN,10.0,HOMEIMPROVEMENT,B,28000.0,10.99,0.0,0.1243339253996447,N,3.0,67,28.000000000000004
25.0,225200.0,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000.0,14.42,0.0,0.0888099467140319,Y,2.0,68,58.00000000000001
24.0,225200.0,MORTGAGE,9.0,EDUCATION,A,9600.0,6.99,0.0,0.0426287744227353,N,2.0,69,30.000000000000004
25.0,225200.0,RENT,2.0,MEDICAL,C,25000.0,13.49,0.0,0.1110124333925399,N,4.0,70,42.999999999999986
25.0,12000.0,OWN,0.0,MEDICAL,C,3000.0,10.99,1.0,0.25,N,3.0,71,39.0
22.0,56950.0,RENT,6.0,MEDICAL,A,28000.0,10.99,1.0,0.4916593503072871,N,2.0,72,46.0
21.0,12000.0,OWN,6.0,EDUCATION,C,3000.0,13.61,1.0,0.25,Y,3.0,73,56.0
23.0,65000.0,RENT,2.0,EDUCATION,A,28000.0,7.9,1.0,0.4307692307692308,N,2.0,74,50.0
26.0,85000.0,RENT,2.0,VENTURE,A,28000.0,7.49,1.0,0.3294117647058823,N,3.0,75,48.99999999999999
26.0,12000.0,OWN,2.0,EDUCATION,A,6100.0,7.51,1.0,0.5083333333333333,N,3.0,76,43.0
22.0,88000.0,RENT,6.0,VENTURE,B,28000.0,9.91,1.0,0.3181818181818182,N,3.0,77,49.0
21.0,12000.0,OWN,0.0,PERSONAL,C,4200.0,13.48,1.0,0.35,Y,4.0,78,70.0
22.0,12000.0,OWN,6.0,DEBTCONSOLIDATION,A,4750.0,7.14,1.0,0.3958333333333333,N,2.0,79,40.0
24.0,83004.0,RENT,0.0,VENTURE,D,28000.0,15.99,1.0,0.3373331405715387,Y,4.0,80,79.0
24.0,225200.0,RENT,2.0,EDUCATION,C,18000.0,12.98,0.0,0.0799289520426287,Y,3.0,81,63.99999999999999
26.0,225200.0,RENT,4.0,VENTURE,C,4800.0,13.57,0.0,0.0213143872113676,N,3.0,82,39.0
25.0,100000.0,RENT,5.0,DEBTCONSOLIDATION,B,28000.0,12.69,0.0,0.28,N,3.0,83,36.0
26.0,110000.0,RENT,10.0,EDUCATION,A,28000.0,8.9,0.0,0.2545454545454545,N,2.0,84,31.0
26.0,12000.0,OWN,0.0,DEBTCONSOLIDATION,A,2700.0,10.99,1.0,0.225,N,4.0,85,33.00000000000001
22.0,108000.0,RENT,6.0,EDUCATION,B,28000.0,10.99,1.0,0.2592592592592592,N,4.0,86,39.0
23.0,151200.0,RENT,7.0,DEBTCONSOLIDATION,B,28000.0,11.11,0.0,0.1851851851851851,N,2.0,87,37.0
24.0,69000.0,RENT,2.0,HOMEIMPROVEMENT,A,27600.0,10.99,1.0,0.4,N,2.0,88,50.0
21.0,12000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250.0,15.68,1.0,0.2708333333333333,Y,3.0,89,64.0
22.0,70000.0,RENT,4.0,EDUCATION,C,27500.0,13.06,1.0,0.3928571428571428,Y,3.0,90,72.00000000000001
22.0,225200.0,OWN,6.0,PERSONAL,B,25000.0,10.99,0.0,0.1110124333925399,N,2.0,91,31.000000000000007
26.0,73200.0,RENT,5.0,VENTURE,D,27050.0,15.62,1.0,0.369535519125683,Y,2.0,92,74.0
24.0,83000.0,RENT,5.0,PERSONAL,C,27000.0,13.49,1.0,0.3253012048192771,Y,2.0,93,72.00000000000001
24.0,73399.0,RENT,0.0,VENTURE,D,27000.0,10.99,1.0,0.3678524230575348,N,3.0,94,59.0
23.0,62500.0,RENT,7.0,MEDICAL,B,26000.0,11.71,1.0,0.416,N,2.0,95,49.0
23.0,120000.0,RENT,1.0,EDUCATION,B,25600.0,12.69,0.0,0.2133333333333333,N,3.0,96,41.0
24.0,12360.0,OWN,2.0,MEDICAL,C,1600.0,13.57,0.0,0.1294498381877022,N,3.0,97,38.00000000000001
22.0,60000.0,RENT,0.0,VENTURE,B,25475.0,10.99,1.0,0.4245833333333333,N,3.0,98,53.00000000000001
25.0,225200.0,MORTGAGE,3.0,MEDICAL,C,20000.0,14.27,0.0,0.0888099467140319,Y,4.0,99,55.0
24.0,225200.0,OWN,8.0,HOMEIMPROVEMENT,B,20000.0,8.88,0.0,0.0888099467140319,N,4.0,100,31.000000000000007
26.0,225200.0,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600.0,12.18,0.0,0.0959147424511545,N,3.0,101,30.000000000000004
25.0,221004.0,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900.0,14.42,1.0,0.0538451792727733,Y,3.0,102,60.00000000000001
26.0,225200.0,MORTGAGE,0.0,MEDICAL,C,25000.0,14.17,0.0,0.1110124333925399,Y,2.0,103,59.0
25.0,225200.0,MORTGAGE,5.0,MEDICAL,C,35000.0,13.99,0.0,0.1554174067495559,N,4.0,104,35.0
23.0,83000.0,RENT,7.0,EDUCATION,B,25300.0,10.99,1.0,0.3048192771084337,N,3.0,105,49.0
22.0,12600.0,MORTGAGE,4.0,PERSONAL,A,2000.0,5.42,1.0,0.1587301587301587,N,4.0,106,32.0
25.0,12600.0,OWN,3.0,PERSONAL,C,1750.0,13.61,0.0,0.1388888888888889,N,3.0,107,33.0
21.0,42500.0,RENT,3.0,EDUCATION,C,25000.0,12.73,1.0,0.5882352941176471,Y,3.0,108,72.00000000000001
24.0,41000.0,RENT,2.0,HOMEIMPROVEMENT,D,25000.0,10.99,1.0,0.6097560975609756,N,3.0,109,59.0
25.0,12816.0,OWN,0.0,DEBTCONSOLIDATION,C,3000.0,12.87,1.0,0.2340823970037453,Y,4.0,110,58.99999999999999
24.0,12960.0,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650.0,9.91,1.0,0.2816358024691358,N,3.0,111,39.0
26.0,225200.0,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000.0,11.49,0.0,0.0888099467140319,N,4.0,112,32.0
25.0,225000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000.0,19.91,0.0,0.1333333333333333,Y,2.0,113,65.0
26.0,213000.0,MORTGAGE,6.0,EDUCATION,B,35000.0,10.65,1.0,0.1643192488262911,N,2.0,114,34.0
24.0,225000.0,RENT,0.0,MEDICAL,B,6000.0,10.99,0.0,0.0266666666666666,N,4.0,115,41.0
24.0,12960.0,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500.0,11.83,1.0,0.3472222222222222,N,4.0,116,49.0
23.0,12996.0,OWN,0.0,DEBTCONSOLIDATION,C,2400.0,13.49,1.0,0.1846722068328716,Y,2.0,117,60.0
22.0,42000.0,RENT,6.0,MEDICAL,D,25000.0,14.59,1.0,0.5952380952380952,Y,2.0,118,75.0
26.0,48000.0,RENT,2.0,EDUCATION,B,25000.0,9.64,1.0,0.5208333333333334,N,4.0,119,52.0
25.0,12996.0,OWN,1.0,MEDICAL,D,3600.0,14.59,1.0,0.2770083102493075,N,3.0,120,42.0
22.0,12996.0,OWN,1.0,EDUCATION,B,4750.0,10.99,1.0,0.3654970760233918,N,3.0,121,47.000000000000014
25.0,42360.0,RENT,1.0,EDUCATION,E,25000.0,16.35,1.0,0.5901794145420207,Y,3.0,122,81.0
21.0,49000.0,RENT,4.0,EDUCATION,B,25000.0,10.99,1.0,0.5102040816326531,N,2.0,123,49.0
25.0,225000.0,MORTGAGE,0.0,VENTURE,F,25000.0,18.67,0.0,0.1111111111111111,N,2.0,124,47.999999999999986
26.0,225000.0,RENT,1.0,EDUCATION,A,3000.0,9.32,0.0,0.0133333333333333,N,4.0,125,37.00000000000001
23.0,225000.0,RENT,8.0,DEBTCONSOLIDATION,A,7500.0,8.63,0.0,0.0333333333333333,N,2.0,126,34.0
26.0,225000.0,MORTGAGE,2.0,VENTURE,B,25000.0,10.08,0.0,0.1111111111111111,N,2.0,127,36.00000000000001
22.0,49464.0,RENT,5.0,PERSONAL,B,25000.0,11.83,1.0,0.5054180818372959,N,3.0,128,49.0
23.0,50000.0,RENT,1.0,DEBTCONSOLIDATION,A,25000.0,7.9,1.0,0.5,N,3.0,129,50.0
25.0,50000.0,RENT,4.0,HOMEIMPROVEMENT,A,25000.0,5.99,1.0,0.5,N,2.0,130,44.99999999999999
24.0,44000.0,RENT,2.0,DEBTCONSOLIDATION,D,25000.0,15.33,1.0,0.5681818181818182,N,2.0,131,59.0
23.0,50000.0,RENT,1.0,VENTURE,B,25000.0,11.83,1.0,0.5,N,4.0,132,53.00000000000001
22.0,50004.0,RENT,0.0,VENTURE,B,25000.0,10.36,1.0,0.499960003199744,N,2.0,133,53.00000000000001
22.0,50004.0,RENT,3.0,VENTURE,C,25000.0,12.23,1.0,0.499960003199744,N,3.0,134,51.99999999999999
22.0,52000.0,RENT,2.0,EDUCATION,B,25000.0,11.11,1.0,0.4807692307692308,N,4.0,135,53.00000000000001
23.0,13200.0,OWN,3.0,DEBTCONSOLIDATION,A,4950.0,7.9,1.0,0.375,N,4.0,136,40.0
24.0,220000.0,MORTGAGE,1.0,EDUCATION,B,25000.0,11.58,0.0,0.1136363636363636,N,2.0,137,37.00000000000001
23.0,216000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000.0,8.9,0.0,0.0972222222222222,N,3.0,138,30.000000000000004
25.0,216000.0,MORTGAGE,2.0,EDUCATION,D,25000.0,16.07,0.0,0.1157407407407407,N,3.0,139,41.99999999999999
26.0,216000.0,MORTGAGE,10.0,EDUCATION,C,20000.0,14.22,0.0,0.0925925925925925,Y,2.0,140,52.999999999999986
23.0,215000.0,MORTGAGE,7.0,MEDICAL,C,35000.0,14.79,0.0,0.1627906976744186,Y,3.0,141,56.00000000000001
26.0,215000.0,MORTGAGE,11.0,EDUCATION,A,12000.0,7.88,0.0,0.055813953488372,N,2.0,142,27.0
23.0,52000.0,RENT,1.0,PERSONAL,C,25000.0,13.22,1.0,0.4807692307692308,N,2.0,143,56.0
26.0,46000.0,RENT,2.0,DEBTCONSOLIDATION,D,25000.0,11.86,1.0,0.5434782608695652,N,4.0,144,58.0
22.0,53000.0,RENT,5.0,EDUCATION,C,25000.0,13.43,1.0,0.4716981132075472,Y,4.0,145,72.00000000000001
26.0,47000.0,RENT,0.0,HOMEIMPROVEMENT,D,25000.0,15.28,1.0,0.5319148936170213,Y,2.0,146,78.0
23.0,47000.0,RENT,1.0,VENTURE,E,25000.0,17.93,1.0,0.5319148936170213,N,2.0,147,61.99999999999999
23.0,13200.0,MORTGAGE,2.0,EDUCATION,B,1400.0,9.25,0.0,0.106060606060606,N,4.0,148,37.00000000000001
21.0,13200.0,OWN,0.0,VENTURE,C,4500.0,12.98,1.0,0.3409090909090909,N,4.0,149,50.0
22.0,210000.0,MORTGAGE,6.0,VENTURE,B,16000.0,10.62,0.0,0.0761904761904762,N,4.0,150,33.0
26.0,210000.0,OWN,10.0,PERSONAL,B,22000.0,11.83,0.0,0.1047619047619047,N,4.0,151,28.000000000000004
26.0,48000.0,RENT,5.0,VENTURE,F,25000.0,18.43,1.0,0.5208333333333334,N,2.0,152,59.99999999999999
22.0,54996.0,RENT,6.0,EDUCATION,B,25000.0,10.99,1.0,0.4545785148010764,N,4.0,153,49.0
24.0,55000.0,RENT,4.0,HOMEIMPROVEMENT,D,25000.0,10.99,1.0,0.4545454545454545,Y,4.0,154,75.0
23.0,55000.0,RENT,4.0,EDUCATION,B,25000.0,11.36,1.0,0.4545454545454545,N,3.0,155,49.0
23.0,55000.0,RENT,4.0,EDUCATION,D,25000.0,15.65,1.0,0.4545454545454545,Y,3.0,156,75.0
24.0,55164.0,RENT,8.0,PERSONAL,C,25000.0,13.22,1.0,0.4531941121020956,Y,4.0,157,72.00000000000001
26.0,56000.0,RENT,4.0,DEBTCONSOLIDATION,C,25000.0,12.87,1.0,0.4464285714285714,N,2.0,158,50.999999999999986
24.0,203500.0,OWN,8.0,MEDICAL,C,20000.0,13.04,0.0,0.0982800982800982,N,3.0,159,34.0
23.0,190000.0,MORTGAGE,5.0,EDUCATION,F,22000.0,17.58,1.0,0.1157894736842105,Y,3.0,160,67.00000000000001
23.0,13920.0,OWN,2.0,PERSONAL,E,7750.0,17.04,1.0,0.5567528735632183,N,4.0,161,56.0
24.0,60000.0,RENT,0.0,PERSONAL,B,25000.0,10.99,1.0,0.4166666666666667,N,3.0,162,53.00000000000001
24.0,60000.0,RENT,2.0,PERSONAL,B,25000.0,11.11,1.0,0.4166666666666667,N,3.0,163,53.00000000000001
26.0,54000.0,RENT,7.0,DEBTCONSOLIDATION,D,25000.0,14.83,1.0,0.4629629629629629,Y,2.0,164,74.0
23.0,14000.0,OWN,2.0,DEBTCONSOLIDATION,D,4000.0,10.99,1.0,0.2857142857142857,N,3.0,165,43.0
24.0,200000.0,RENT,8.0,MEDICAL,B,12000.0,12.69,0.0,0.06,N,2.0,166,37.0
24.0,200000.0,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000.0,13.49,0.0,0.06,N,2.0,167,36.0
21.0,200000.0,MORTGAGE,5.0,EDUCATION,C,16000.0,14.65,0.0,0.08,N,4.0,168,36.0
25.0,54000.0,RENT,3.0,HOMEIMPROVEMENT,E,25000.0,16.82,1.0,0.4629629629629629,N,4.0,169,57.0
23.0,60000.0,RENT,3.0,PERSONAL,C,25000.0,12.73,1.0,0.4166666666666667,N,3.0,170,51.99999999999999
23.0,60000.0,RENT,7.0,PERSONAL,B,25000.0,10.25,1.0,0.4166666666666667,N,4.0,171,49.0
21.0,60000.0,RENT,6.0,EDUCATION,B,25000.0,10.99,1.0,0.4166666666666667,N,4.0,172,49.0
25.0,61959.0,RENT,9.0,MEDICAL,C,25000.0,12.73,1.0,0.4034926322245356,N,2.0,173,50.999999999999986
22.0,56400.0,RENT,2.0,HOMEIMPROVEMENT,D,25000.0,14.96,1.0,0.4432624113475177,Y,3.0,174,79.0
23.0,200000.0,MORTGAGE,7.0,EDUCATION,A,28000.0,10.99,0.0,0.14,N,2.0,175,30.000000000000004
21.0,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000.0,13.99,0.0,0.125,N,2.0,176,40.0
24.0,200000.0,MORTGAGE,3.0,VENTURE,A,24000.0,7.49,0.0,0.12,N,4.0,177,30.000000000000004
26.0,200000.0,MORTGAGE,4.0,EDUCATION,C,15000.0,14.79,0.0,0.075,N,3.0,178,35.0
25.0,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500.0,11.99,0.0,0.0775,N,2.0,179,36.00000000000001
24.0,200000.0,RENT,8.0,EDUCATION,A,10000.0,8.49,0.0,0.05,N,4.0,180,34.0
24.0,66000.0,RENT,3.0,EDUCATION,B,25000.0,9.91,1.0,0.3787878787878788,N,2.0,181,49.0
22.0,66000.0,RENT,6.0,EDUCATION,C,25000.0,13.06,1.0,0.3787878787878788,Y,3.0,182,72.00000000000001
22.0,200000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000.0,6.17,0.0,0.045,N,4.0,183,30.000000000000004
26.0,200000.0,MORTGAGE,4.0,EDUCATION,B,6000.0,11.86,0.0,0.03,N,2.0,184,32.0
25.0,200000.0,RENT,5.0,EDUCATION,D,18000.0,16.32,0.0,0.09,N,3.0,185,41.99999999999999
25.0,200000.0,MORTGAGE,2.0,VENTURE,B,12000.0,10.38,0.0,0.06,N,2.0,186,36.00000000000001
25.0,200000.0,MORTGAGE,9.0,PERSONAL,C,23050.0,14.35,0.0,0.11525,N,3.0,187,35.0
24.0,200000.0,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000.0,10.99,0.0,0.1,N,3.0,188,33.0
24.0,60000.0,RENT,2.0,DEBTCONSOLIDATION,E,25000.0,10.99,1.0,0.4166666666666667,Y,2.0,189,82.0
21.0,14400.0,OWN,0.0,HOMEIMPROVEMENT,B,3000.0,10.99,1.0,0.2083333333333333,N,4.0,190,37.000000000000014
26.0,66996.0,RENT,10.0,PERSONAL,D,25000.0,15.21,1.0,0.373156606364559,Y,2.0,191,72.0
23.0,67000.0,RENT,3.0,EDUCATION,A,25000.0,7.9,1.0,0.373134328358209,N,4.0,192,46.0
24.0,67000.0,RENT,2.0,VENTURE,B,25000.0,10.99,1.0,0.373134328358209,N,3.0,193,53.00000000000001
24.0,68000.0,RENT,5.0,PERSONAL,D,25000.0,14.09,1.0,0.3676470588235294,Y,3.0,194,75.0
25.0,69000.0,RENT,9.0,PERSONAL,D,25000.0,17.49,1.0,0.3623188405797101,N,2.0,195,53.99999999999999
25.0,200000.0,MORTGAGE,0.0,EDUCATION,B,12000.0,11.48,0.0,0.06,N,3.0,196,36.00000000000001
26.0,188000.0,MORTGAGE,10.0,VENTURE,E,20000.0,17.74,1.0,0.1063829787234042,N,2.0,197,41.00000000000001
26.0,200000.0,MORTGAGE,4.0,PERSONAL,C,3000.0,13.92,0.0,0.015,N,3.0,198,35.0
25.0,69996.0,RENT,9.0,EDUCATION,D,25000.0,15.21,1.0,0.3571632664723698,N,3.0,199,53.99999999999999
22.0,14400.0,OWN,2.0,MEDICAL,B,4000.0,10.99,1.0,0.2777777777777778,N,3.0,200,37.000000000000014
24.0,70000.0,RENT,3.0,EDUCATION,B,25000.0,11.86,1.0,0.3571428571428571,N,4.0,201,49.0
24.0,14400.0,OWN,5.0,PERSONAL,A,6000.0,7.49,1.0,0.4166666666666667,N,3.0,202,40.0
24.0,56100.0,RENT,7.0,MEDICAL,D,25000.0,16.49,1.0,0.445632798573975,N,4.0,203,55.0
25.0,66000.0,RENT,9.0,VENTURE,D,25000.0,15.33,1.0,0.3787878787878788,Y,2.0,204,74.0
26.0,66000.0,RENT,3.0,HOMEIMPROVEMENT,B,25000.0,11.58,1.0,0.3787878787878788,N,4.0,205,48.0
25.0,14400.0,OWN,7.0,EDUCATION,A,5375.0,5.79,1.0,0.3732638888888889,N,2.0,206,39.0
25.0,72612.0,RENT,9.0,MEDICAL,C,25000.0,13.11,1.0,0.3442957086982868,N,2.0,207,50.999999999999986
23.0,74000.0,RENT,3.0,MEDICAL,B,25000.0,10.36,1.0,0.3378378378378378,N,3.0,208,49.0
25.0,75000.0,RENT,9.0,DEBTCONSOLIDATION,B,25000.0,10.36,1.0,0.3333333333333333,N,2.0,209,48.0
24.0,192000.0,RENT,0.0,MEDICAL,C,22000.0,10.99,0.0,0.1145833333333333,Y,2.0,210,63.99999999999999
21.0,192000.0,MORTGAGE,123.0,VENTURE,A,20000.0,6.54,0.0,0.1041666666666666,N,4.0,211,28.000000000000004
25.0,191000.0,MORTGAGE,1.0,MEDICAL,B,10000.0,12.53,0.0,0.0523560209424083,N,4.0,212,36.00000000000001
26.0,190300.0,MORTGAGE,5.0,PERSONAL,A,15000.0,10.99,0.0,0.0788229111928534,N,3.0,213,29.000000000000004
22.0,190000.0,MORTGAGE,3.0,VENTURE,C,10000.0,10.99,0.0,0.0526315789473684,N,3.0,214,36.0
24.0,75000.0,RENT,4.0,EDUCATION,B,25000.0,10.25,1.0,0.3333333333333333,N,4.0,215,49.0
22.0,71000.0,RENT,1.0,EDUCATION,D,25000.0,15.95,1.0,0.352112676056338,Y,4.0,216,79.0
26.0,190000.0,MORTGAGE,3.0,VENTURE,B,20000.0,12.18,0.0,0.1052631578947368,N,4.0,217,32.0
23.0,189996.0,OWN,0.0,PERSONAL,B,24000.0,11.83,0.0,0.1263184488094486,N,3.0,218,35.00000000000001
